0.835249 0.98875 0,4 1,1
0.835249 0.885176 0,1,4 1,2,1
0.835249 0.870339 0,3,4 1,2,1
0.846581 0.8312 0,1,4 2,3,1
0.846581 0.817267 0,3,4 1,3,2
0.835249 0.813572 0,2,4 1,2,1
0.870966 0.78646 0,4 2,2
0.835249 0.779168 0,1,3,4 1,2,2,1
0.835249 0.779168 0,1,3,4 1,2,2,1
0.854729 0.746363 0,1,4 4,5,1
0.864471 0.741354 0,1,4 1,3,2
0.854729 0.733852 0,3,4 1,5,4
0.846581 0.731656 0,1,3,4 1,2,3,2
0.846581 0.731656 0,1,3,4 1,2,3,2
0.846581 0.731656 0,1,3,4 2,3,2,1
0.846581 0.731656 0,1,3,4 2,3,2,1
0.864471 0.728927 0,3,4 2,3,1
0.835249 0.728348 0,1,2,4 1,2,2,1
0.835249 0.728348 0,1,2,4 1,2,2,1
0.856338 0.720128 0,2,4 1,3,2
0.856338 0.720128 0,2,4 2,3,1
0.835249 0.716139 0,2,3,4 1,2,2,1
0.835249 0.716139 0,2,3,4 1,2,2,1
0.87637 0.696148 0,1,4 2,4,2
0.856338 0.689676 0,1,3,4 1,3,3,1
0.856338 0.689676 0,1,3,4 1,3,3,1
0.858133 0.687041 0,1,3,4 2,3,3,2
0.858133 0.687041 0,1,3,4 2,3,3,2
0.87637 0.684479 0,3,4 2,4,2
0.846581 0.683935 0,1,2,4 2,3,2,1
0.846581 0.683935 0,1,2,4 1,3,3,1
0.846581 0.683935 0,1,2,4 1,3,3,1
0.846581 0.683935 0,1,2,4 2,3,2,1
0.846581 0.672471 0,2,3,4 1,2,3,2
0.846581 0.672471 0,2,3,4 1,3,3,1
0.846581 0.672471 0,2,3,4 1,3,3,1
0.846581 0.672471 0,2,3,4 1,2,3,2
0.854729 0.656979 0,1,3,4 1,2,5,4
0.854729 0.656979 0,1,3,4 4,5,2,1
0.854729 0.656979 0,1,3,4 4,5,2,1
0.854729 0.656979 0,1,3,4 1,2,5,4
0.868079 0.647621 0,1,3,4 1,3,4,2
0.868079 0.647621 0,1,3,4 2,4,3,1
0.868079 0.647621 0,1,3,4 2,4,3,1
0.868079 0.647621 0,1,3,4 1,3,4,2
0.856338 0.644693 0,1,2,4 1,2,3,2
0.856338 0.644693 0,1,2,4 1,2,3,2
0.858133 0.64223 0,1,2,4 2,4,3,1
0.858133 0.64223 0,1,2,4 2,4,3,1
0.835249 0.641122 0,1,2,3,4 1,2,2,2,1
0.835249 0.641122 0,1,2,3,4 1,2,2,2,1
0.835249 0.641122 0,1,2,3,4 1,2,2,2,1
0.835249 0.641122 0,1,2,3,4 1,2,2,2,1
0.835249 0.641122 0,1,2,3,4 1,2,2,2,1
0.878187 0.637418 0,2,4 2,4,2
0.856338 0.633887 0,2,3,4 2,3,2,1
0.856338 0.633887 0,2,3,4 2,3,2,1
0.858133 0.631465 0,2,3,4 1,3,4,2
0.858133 0.631465 0,2,3,4 1,3,4,2
0.884924 0.625095 0,1,4 4,6,2
0.866438 0.616918 0,1,3,4 2,3,5,4
0.866438 0.616918 0,1,3,4 4,5,3,2
0.866438 0.616918 0,1,3,4 4,5,3,2
0.866438 0.616918 0,1,3,4 2,3,5,4
0.884924 0.614617 0,3,4 2,6,4
0.854729 0.614129 0,1,2,4 1,5,5,1
0.854729 0.614129 0,1,2,4 4,5,2,1
0.854729 0.614129 0,1,2,4 1,5,5,1
0.854729 0.614129 0,1,2,4 4,5,2,1
